genomeIDs	original_lineage	recombinant_parents	breakpoint_count	case_report_folder
	XAH	BA.2 + BA.1.23	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_86_XAH_Unknown_ID
	XCW	XBB.2.3.20 + JF.1.1.2	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_87_XCW_Unknown_ID
	XE	BD.1 + BA.2.31	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_89_XE_Unknown_ID
	XFA	MC.1.1 + XEC.4.1.4	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_90_XFA_Unknown_ID
	XZ	BA.2 + BA.1.23	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_91_XZ_Unknown_ID
	XDE	GW.5.1 + FL.13	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_93_XDE_Unknown_ID
	XDS	JG.3.1 + BA.2.86.1	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_95_XDS_Unknown_ID
	XBR	BN.3.1 + BQ.1.25	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_98_XBR_Unknown_ID
	XY	BA.1.1 + BA.2	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_99_XY_Unknown_ID
	XAD	BA.2 + BA.1.1	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_100_XAD_Unknown_ID
	XEU	XEK.2 + XEC.8	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_101_XEU_Unknown_ID
	XBQ	BA.5.2.10 + BM.1.1.1	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_103_XBQ_Unknown_ID
	XAY	XAY.2 + XAY.2.3	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_104_XAY_Unknown_ID
	XAN	BA.2 + BA.5.1.23	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_107_XAN_Unknown_ID
	XBS	BN.1 + BQ.1.1.46	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_115_XBS_Unknown_ID
	XBW	XBB.1.5 + BQ.1.14	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_116_XBW_Unknown_ID
	XJ	BD.1 + BA.2	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_117_XJ_Unknown_ID
	XDB	XBB.1.16.19 + BA.2.27	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_119_XDB_Unknown_ID
	XDT	BA.2.86.1 + GK.1.1	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_121_XDT_Unknown_ID
	XFN	JN.1.16.1 + KP.3.3.10	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_122_XFN_Unknown_ID
	XDR	XBB.1.5 + JN.1.1	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_123_XDR_Unknown_ID
	XBP	BL.2 + BQ.1.23	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_124_XBP_Unknown_ID
	XAE	BA.2 + BA.1.1	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_126_XAE_Unknown_ID
	XDJ	JF.1 + HK.3.1	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_127_XDJ_Unknown_ID
	XCR	GK.1.1.1 + FU.1.1.1	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_128_XCR_Unknown_ID
	XCG	BA.5.2.10 + XBB.1.5	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_129_XCG_Unknown_ID
	XDM	XBB.1.16 + XDA.1	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_130_XDM_Unknown_ID
