genomeIDs	original_lineage	recombinant_parents	breakpoint_count	case_report_folder
PP_001TRUY	A.D.3.NmC1	A.D.4.NmC1 + A.D.3.NmC2	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_3_A.D.3.NmC1_PP_001TRUY
PP_001T7WC	A.D.3.NmC1	A.D.3.NmC1 + A.D.5.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_3_A.D.3.NmC1_PP_001T7WC
PP_001T7Y8	A.D.3.NmC1	A.D.3.NmC1 + A.D.5.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_3_A.D.3.NmC1_PP_001T7Y8
PP_001GW13	A.D.3.NmC1	A.D.4.NmC3 + A.D.3.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_3_A.D.3.NmC1_PP_001GW13
PP_001GW21	A.D.3.NmC1	A.D.4.NmC1 + A.D.3.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_3_A.D.3.NmC1_PP_001GW21
PP_001JLL3	A.D.5.NmC1	A.D.2.1 + A.D.5.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001JLL3
PP_001JLRT	A.D.5.NmC1	A.D.2.1 + A.D.5.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001JLRT
PP_001DP66	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001DP66
PP_001DP74	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001DP74
PP_001FC1P	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001FC1P
PP_001DPLB	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001DPLB
PP_001DP90	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001DP90
PP_001AULC	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001AULC
PP_001DGMG	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001DGMG
PP_001DH3J	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001DH3J
PP_001DGV0	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001DGV0
PP_001AUMA	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001AUMA
PP_001BVM7	A.D.5.NmC1	A.D.5.NmC1 + A.D + A.D.5.NmC1	2BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001BVM7
PP_001DP2E	A.D.5.NmC1	A.D.5.NmC1 + A.D.5.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001DP2E
PP_001DP3C	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001DP3C
PP_001DPN7	A.D.5.NmC1	A.D.2.1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001DPN7
PP_001DPP5	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001DPP5
PP_001DPUV	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001DPUV
PP_001DPQ3	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001DPQ3
PP_001DP58	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001DP58
PP_001DPAY	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001DPAY
PP_001DP82	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001DP82
PP_001DPDS	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001DPDS
PP_001F6TA	A.D.5.NmC1	A.D.5.NmC1 + A.D.3 + A.D.5.NmC1	2BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001F6TA
PP_001KGTR	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001KGTR
PP_001KGYF	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001KGYF
PP_001KH0B	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001KH0B
PP_001KH19	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001KH19
PP_001KH51	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001KH51
PP_001TR5B	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001TR5B
PP_001TPYS	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001TPYS
PP_001LEM3	A.D.5.NmC1	A.D.2.1 + A.D.5.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001LEM3
PP_001LF43	A.D.5.NmC1	A.D.5.NmC1 + A.D.5.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001LF43
PP_001LF9T	A.D.5.NmC1	A.D.5.NmC1 + A.D.5.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001LF9T
PP_001LPF7	A.D.5.NmC1	A.3.1.1 + A.D.5.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001LPF7
PP_001LK23	A.D.5.NmC1	A.D.5.NmC1 + A.D.5.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001LK23
PP_001LLWD	A.D.5.NmC1	A.D.5.NmC1 + A.D + A.D.5.NmC1	2BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001LLWD
PP_001TQ3G	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001TQ3G
PP_001TQ4E	A.D.5.NmC1	A.D.5.NmC1 + A.2.1.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001TQ4E
PP_001XAHT	A.D.5.NmC1	A.D.4.NmC2 + A.D.5.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001XAHT
PP_001XAGW	A.D.5.NmC1	A.D.4.NmC2 + A.D.5.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_001XAGW
PP_002Y1JX	A.D.5.NmC1	A.D.5 + A.D.5.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_4_A.D.5.NmC1_PP_002Y1JX
PP_001C7VB	A.D.3.3	A.D.5.3 + A.D.3.3	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_5_A.D.3.3_PP_001C7VB
PP_001HWSH	A.D	A.3.1.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001HWSH
PP_001A5UK	A.D	A.D + A.3.1.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001A5UK
PP_001A1WK	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001A1WK
PP_001KKK4	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001KKK4
PP_001NDYC	A.D	A.D + A.D.2.2.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001NDYC
PP_001DEW0	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001DEW0
PP_001DEZU	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001DEZU
PP_001DF2N	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001DF2N
PP_001DF5G	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001DF5G
PP_001DF6E	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001DF6E
PP_001DFB4	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001DFB4
PP_001DFGU	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001DFGU
PP_001DFHR	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001DFHR
PP_001FW9P	A.D	A.D.2.2.NmC1 + A.D.3	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001FW9P
PP_001HXVA	A.D	A.D + A.3.1.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001HXVA
PP_001JUAG	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001JUAG
PP_001JUSH	A.D	A.D.2.1 + A.D.3.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001JUSH
PP_001NE08	A.D	A.D + A.D.2.2.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001NE08
PP_001BWZG	A.D	A.D.5.NmC1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001BWZG
PP_001BX0E	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001BX0E
PP_0016M5Q	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_0016M5Q
PP_001C8UC	A.D	A.D.NmC2 + A.3	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001C8UC
PP_001CB5N	A.D	A.D + A.D.3	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001CB5N
PP_001NBL4	A.D	A.D + A.D.2.2.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001NBL4
PP_001NRNL	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001NRNL
PP_001NRU8	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001NRU8
PP_001NRV6	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001NRV6
PP_001KKSQ	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001KKSQ
PP_001EY4Z	A.D	A.3.1.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001EY4Z
PP_001EZJ3	A.D	A.3.1.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001EZJ3
PP_001EZK1	A.D	A.D + A.D.2.2.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001EZK1
PP_001JV1Z	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001JV1Z
PP_001KKTN	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001KKTN
PP_001EZLZ	A.D	A.D + A.D.2.2.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001EZLZ
PP_001EZMX	A.D	A.D + A.D.2.2.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001EZMX
PP_001EZNV	A.D	A.D + A.D.2.2.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001EZNV
PP_001EYVG	A.D	A.3.1.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001EYVG
PP_001KKUL	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001KKUL
PP_001KKVJ	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001KKVJ
PP_001NRY0	A.D	A.3.1.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001NRY0
PP_001NS0W	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001NS0W
PP_001NS1U	A.D	A.D.5.NmC1 + A.D.3.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001NS1U
PP_001L2S5	A.D	A.D.NmC2 + A.D.3.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001L2S5
PP_001NS7G	A.D	A.3.1.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001NS7G
PP_001NS8E	A.D	A.3.1.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001NS8E
PP_001NS9C	A.D	A.D.5.NmC1 + A.D.3.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001NS9C
PP_001KKWG	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001KKWG
PP_001KKZA	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001KKZA
PP_001EQQ0	A.D	A.3.1.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001EQQ0
PP_001KL08	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001KL08
PP_001KL16	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001KL16
PP_001KL32	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001KL32
PP_001KL40	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001KL40
PP_001KL5Y	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001KL5Y
PP_001U85S	A.D	A.D.5.NmC1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001U85S
PP_001KL7U	A.D	A.D.2.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001KL7U
PP_001LWZX	A.D	A.3.1.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001LWZX
PP_001N3MA	A.D	A.D.3.6 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001N3MA
PP_001LZA7	A.D	A.D.NmC2 + A.D.3.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001LZA7
PP_001LSLT	A.D	A.3.1.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001LSLT
PP_001J5V0	A.D	A.D.NmC1 + A.D.3	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001J5V0
PP_001J5JN	A.D	A.D.NmC1 + A.D.3	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001J5JN
PP_001J1E1	A.D	A.D.NmC2 + A.D.3	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001J1E1
PP_001JP4Z	A.D	A.3.1.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001JP4Z
PP_001JP5X	A.D	A.3.1.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001JP5X
PP_001JPAM	A.D	A.3.1.1 + A.D	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_6_A.D_PP_001JPAM
